Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
0.127907,0,,,,,,,,,,,,,,,,,
0.129019,0,,,,,,,,,,,,,,,,,
0.130087,0,,,,,,,,,,,,,,,,,
0.131218,0,,,,,,,,,,,,,,,,,
0.132357,0,,,,,,,,,,,,,,,,,
0.133495,0,,,,,,,,,,,,,,,,,
0.134631,0,,,,,,,,,,,,,,,,,
0.135769,0,,,,,,,,,,,,,,,,,
0.13686,0,,,,,,,,,,,,,,,,,
0.137998,0,,,,,,,,,,,,,,,,,
0.139088,0,,,,,,,,,,,,,,,,,
0.140233,0,,,,,,,,,,,,,,,,,
0.141258,0,,,,,,,,,,,,,,,,,
0.142403,0,,,,,,,,,,,,,,,,,
0.143461,0,,,,,,,,,,,,,,,,,
0.144573,0,,,,,,,,,,,,,,,,,
0.145665,0,,,,,,,,,,,,,,,,,
0.146804,0,,,,,,,,,,,,,,,,,
0.147864,0,,,,,,,,,,,,,,,,,
0.148951,0,,,,,,,,,,,,,,,,,
0.150086,0,,,,,,,,,,,,,,,,,
0.151225,0,,,,,,,,,,,,,,,,,
0.152363,0,,,,,,,,,,,,,,,,,
0.1535,0,,,,,,,,,,,,,,,,,
0.154639,0,,,,,,,,,,,,,,,,,
0.155777,0,,,,,,,,,,,,,,,,,
0.156883,0,,,,,,,,,,,,,,,,,
0.158004,0,,,,,,,,,,,,,,,,,
0.159136,0,,,,,,,,,,,,,,,,,
0.160228,0,,,,,,,,,,,,,,,,,
0.161317,0,,,,,,,,,,,,,,,,,
0.162403,0,,,,,,,,,,,,,,,,,
0.163492,0,,,,,,,,,,,,,,,,,
0.164585,0,,,,,,,,,,,,,,,,,
0.165722,0,,,,,,,,,,,,,,,,,
0.166815,0,,,,,,,,,,,,,,,,,
0.167953,0,,,,,,,,,,,,,,,,,
0.169052,0,,,,,,,,,,,,,,,,,
0.17019,0,,,,,,,,,,,,,,,,,
0.171329,0,,,,,,,,,,,,,,,,,
0.172466,0,,,,,,,,,,,,,,,,,
0.173597,0,,,,,,,,,,,,,,,,,
0.174734,0,,,,,,,,,,,,,,,,,
0.175855,0,,,,,,,,,,,,,,,,,
0.176952,0,,,,,,,,,,,,,,,,,
0.178043,0,,,,,,,,,,,,,,,,,
0.179186,0,,,,,,,,,,,,,,,,,
0.180308,0,,,,,,,,,,,,,,,,,
0.181401,0,,,,,,,,,,,,,,,,,
0.182537,0,,,,,,,,,,,,,,,,,
0.183675,0,,,,,,,,,,,,,,,,,
0.184823,0,,,,,,,,,,,,,,,,,
0.185962,0,,,,,,,,,,,,,,,,,
0.187075,0,,,,,,,,,,,,,,,,,
0.188184,0,,,,,,,,,,,,,,,,,
0.189237,0,,,,,,,,,,,,,,,,,
0.190378,0,,,,,,,,,,,,,,,,,
0.191516,0,,,,,,,,,,,,,,,,,
0.192614,0,,,,,,,,,,,,,,,,,
0.193678,0,,,,,,,,,,,,,,,,,
0.194776,0,,,,,,,,,,,,,,,,,
0.19593,0,,,,,,,,,,,,,,,,,
0.196989,0,,,,,,,,,,,,,,,,,
0.198125,0,,,,,,,,,,,,,,,,,
0.199262,0,,,,,,,,,,,,,,,,,
0.200399,0,,,,,,,,,,,,,,,,,
0.201492,0,,,,,,,,,,,,,,,,,
0.20258,0,,,,,,,,,,,,,,,,,
0.203677,0,,,,,,,,,,,,,,,,,
0.204797,0,,,,,,,,,,,,,,,,,
0.205888,0,,,,,,,,,,,,,,,,,
0.206977,0,,,,,,,,,,,,,,,,,
0.208068,0,,,,,,,,,,,,,,,,,
0.209154,0,,,,,,,,,,,,,,,,,
0.210246,0,,,,,,,,,,,,,,,,,
0.211333,0,,,,,,,,,,,,,,,,,
0.212426,0,,,,,,,,,,,,,,,,,
0.213515,0,,,,,,,,,,,,,,,,,
0.214651,0,,,,,,,,,,,,,,,,,
0.215789,0,,,,,,,,,,,,,,,,,
0.216908,0,,,,,,,,,,,,,,,,,
0.218046,0,,,,,,,,,,,,,,,,,
0.219184,0,,,,,,,,,,,,,,,,,
0.220334,0,,,,,,,,,,,,,,,,,
0.221429,0,,,,,,,,,,,,,,,,,
0.222553,0,,,,,,,,,,,,,,,,,
0.223693,0,,,,,,,,,,,,,,,,,
0.224784,0,,,,,,,,,,,,,,,,,
0.225921,0,,,,,,,,,,,,,,,,,
0.227011,0,,,,,,,,,,,,,,,,,
0.228114,0,,,,,,,,,,,,,,,,,
0.229171,0,,,,,,,,,,,,,,,,,
0.230323,0,,,,,,,,,,,,,,,,,
0.231376,0,,,,,,,,,,,,,,,,,
0.232519,0,,,,,,,,,,,,,,,,,
0.233622,0,,,,,,,,,,,,,,,,,
0.234759,0,,,,,,,,,,,,,,,,,
0.235897,0,,,,,,,,,,,,,,,,,
0.236994,0,,,,,,,,,,,,,,,,,
0.238085,0,,,,,,,,,,,,,,,,,
0.23924,0,,,,,,,,,,,,,,,,,
0.24033,0,,,,,,,,,,,,,,,,,
0.241468,0,,,,,,,,,,,,,,,,,
0.242581,0,,,,,,,,,,,,,,,,,
0.243677,0,,,,,,,,,,,,,,,,,
0.244789,0,,,,,,,,,,,,,,,,,
0.245874,0,,,,,,,,,,,,,,,,,
0.247011,0,,,,,,,,,,,,,,,,,
0.24816,0,,,,,,,,,,,,,,,,,
0.249183,0,,,,,,,,,,,,,,,,,
0.250267,0,,,,,,,,,,,,,,,,,
0.251353,0,,,,,,,,,,,,,,,,,
0.252492,0,,,,,,,,,,,,,,,,,
0.253629,0,,,,,,,,,,,,,,,,,
0.254768,0,,,,,,,,,,,,,,,,,
0.255905,0,,,,,,,,,,,,,,,,,
0.25701,0,,,,,,,,,,,,,,,,,
0.258138,0,,,,,,,,,,,,,,,,,
0.259228,0,,,,,,,,,,,,,,,,,
0.260323,0,,,,,,,,,,,,,,,,,
0.261415,0,,,,,,,,,,,,,,,,,
0.262505,0,,,,,,,,,,,,,,,,,
