Current amplitude,Load angle3,0
20,0
6,0
27,0
6,0
10,0
10,0
17,0
13,0
13,0
24,0
13,0
6,0
3,0
17,0
6,0
6,0
13,0
6,0
3,0
27,0
3,0
17,0
24,0
13,0
6,0
10,0
6,0
10,0
6,0
13,0
516,0
1642,0
2762,0
3878,0
4175,0
4206,0
4192,0
4227,0
4199,0
4216,0
4216,0
4213,0
4220,0
4196,0
4192,0
4230,0
4206,0
4216,0
4202,0
4237,0
4196,0
4209,0
4213,0
4182,0
4202,0
4220,0
4189,0
4220,0
4206,0
4209,0
4202,0
4196,0
3760,62266
4234,62783
4035,62135
4073,63152
4056,61938
4276,63076
4196,63629
4318,62898
4178,63815
4098,63103
4209,63608
4189,63467
4325,63429
4178,63583
4143,63431
4143,63593
4209,63461
4293,63501
4182,63453
4196,63456
4115,63503
4216,63477
4293,63519
4192,63489
4196,63517
4143,63511
4202,63531
4290,63519
4206,63516
4175,63519
4133,63530
4171,63533
4262,63507
4192,63507
4244,63494
4101,63509
4164,63509
4244,63513
4251,63485
4241,63489
4150,63504
4147,63511
4223,63525
4269,63503
4279,63489
4157,63495
4133,63501
4223,63529
4251,63503
4248,63479
4150,63489
4161,63476
4192,63507
4248,63477
4248,63467
4175,63458
4168,63467
4192,63497
4206,63478
4258,63487
4171,63477
4143,63479
4157,63500
4209,63488
4255,63479
4199,63474
4143,63475
4126,63488
4202,63489
4262,63483
4251,63496
4192,63491
4136,63509
4196,63491
4265,63495
4220,63481
4202,63477
4168,63504
4182,63507
4262,63523
4248,63492
4248,63484
4136,63483
4143,63481
4234,63507
4244,63480
4227,63470
4115,63463
4147,63462
4220,63489
4258,63453
4290,63434
4133,63430
4129,63430
4209,63484
4244,63523
4265,63448
4157,63462
4133,63446
4171,63457
4192,63418
4248,63412
4189,63420
4154,63411
4150,63444
4220,63424
4297,63409
4161,63400
4161,63401
4115,63401
4189,63382
4234,63365
4220,63342
4164,63342
4140,63362
4189,63362
4244,63347
4248,63318
4171,63294
4129,63302
4185,63312
4283,63313
4220,63253
4202,63218
4112,63249
4136,63256
4230,63283
4241,63273
4265,63257
4129,63256
4168,63273
4209,63266
4255,63243
4262,63236
4171,63234
4112,63228
4185,63236
4258,63207
4258,63200
4164,63207
4108,63193
4192,63206
4234,63206
4276,63203
4196,63206
4150,63216
4133,63217
4213,63192
4269,63172
4216,63160
4164,63160
4133,63191
4202,63181
4265,63178
4244,63174
4140,63156
4126,63168
4209,63183
4265,63190
4237,63169
4168,63151
4129,63171
4150,63168
4255,63176
4209,63155
4175,63121
4115,63108
